section,category,metric,type,date,value
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-19,34080
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-19,34064
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-19,1
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-19,5460
Vaccine Administration,Administration,Daily,Pfizer,2020-12-19,5456
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-19,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-20,36952
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-20,9
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-20,36925
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-20,3
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2020-12-20,70965
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2020-12-20,19585
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2020-12-20,51356
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2020-12-20,9
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-20,2872
Vaccine Administration,Administration,Daily,Moderna,2020-12-20,9
Vaccine Administration,Administration,Daily,Pfizer,2020-12-20,2861
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-20,2
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2020-12-20,36885
Vaccine Administration,Administration,Weekly,Moderna,2020-12-20,19585
Vaccine Administration,Administration,Weekly,Pfizer,2020-12-20,17292
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2020-12-20,8
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-21,42451
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-21,38
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-21,42399
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-21,3
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-21,5499
Vaccine Administration,Administration,Daily,Moderna,2020-12-21,29
Vaccine Administration,Administration,Daily,Pfizer,2020-12-21,5474
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-21,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-22,50017
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-22,3633
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-22,46368
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-22,5
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-22,7566
Vaccine Administration,Administration,Daily,Moderna,2020-12-22,3595
Vaccine Administration,Administration,Daily,Pfizer,2020-12-22,3969
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-22,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-23,64289
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-23,14016
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-23,50263
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-23,8
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-23,14272
Vaccine Administration,Administration,Daily,Moderna,2020-12-23,10383
Vaccine Administration,Administration,Daily,Pfizer,2020-12-23,3895
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-23,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-24,68385
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-24,17408
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-24,50966
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-24,9
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-24,4096
Vaccine Administration,Administration,Daily,Moderna,2020-12-24,3392
Vaccine Administration,Administration,Daily,Pfizer,2020-12-24,703
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-24,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-25,68398
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-25,17420
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-25,50967
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-25,9
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-25,13
Vaccine Administration,Administration,Daily,Moderna,2020-12-25,12
Vaccine Administration,Administration,Daily,Pfizer,2020-12-25,1
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-25,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-26,70952
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-26,19585
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-26,51356
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-26,9
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-26,2554
Vaccine Administration,Administration,Daily,Moderna,2020-12-26,2165
Vaccine Administration,Administration,Daily,Pfizer,2020-12-26,389
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-26,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-27,72978
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-27,21368
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-27,51599
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-27,9
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2020-12-27,122579
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2020-12-27,53495
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2020-12-27,69049
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2020-12-27,20
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-27,2026
Vaccine Administration,Administration,Daily,Moderna,2020-12-27,1783
Vaccine Administration,Administration,Daily,Pfizer,2020-12-27,243
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-27,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2020-12-27,51614
Vaccine Administration,Administration,Weekly,Moderna,2020-12-27,33910
Vaccine Administration,Administration,Weekly,Pfizer,2020-12-27,17693
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2020-12-27,11
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-28,81861
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-28,28071
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-28,53776
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-28,12
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-28,8883
Vaccine Administration,Administration,Daily,Moderna,2020-12-28,6703
Vaccine Administration,Administration,Daily,Pfizer,2020-12-28,2177
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-28,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-29,90894
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-29,35274
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-29,55604
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-29,14
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-29,9033
Vaccine Administration,Administration,Daily,Moderna,2020-12-29,7203
Vaccine Administration,Administration,Daily,Pfizer,2020-12-29,1828
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-29,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-30,106202
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-30,45233
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-30,60951
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-30,16
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-30,15308
Vaccine Administration,Administration,Daily,Moderna,2020-12-30,9959
Vaccine Administration,Administration,Daily,Pfizer,2020-12-30,5347
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-30,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-31,115803
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-31,51032
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-31,64750
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-31,19
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-31,9601
Vaccine Administration,Administration,Daily,Moderna,2020-12-31,5799
Vaccine Administration,Administration,Daily,Pfizer,2020-12-31,3799
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-31,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-01,116709
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-01,51406
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-01,65282
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-01,19
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-01,906
Vaccine Administration,Administration,Daily,Moderna,2021-01-01,374
Vaccine Administration,Administration,Daily,Pfizer,2021-01-01,532
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-01,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-02,122566
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-02,53495
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-02,69049
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-02,20
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-02,5857
Vaccine Administration,Administration,Daily,Moderna,2021-01-02,2089
Vaccine Administration,Administration,Daily,Pfizer,2021-01-02,3767
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-02,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-03,124601
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-03,54297
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-03,70282
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-03,20
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-03,234701
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-03,109982
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-03,124669
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-03,35
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-03,2035
Vaccine Administration,Administration,Daily,Moderna,2021-01-03,802
Vaccine Administration,Administration,Daily,Pfizer,2021-01-03,1233
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-03,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-03,112122
Vaccine Administration,Administration,Weekly,Moderna,2021-01-03,56487
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-03,55620
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-03,15
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-04,133539
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-04,60068
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-04,73448
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-04,21
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-04,8938
Vaccine Administration,Administration,Daily,Moderna,2021-01-04,5771
Vaccine Administration,Administration,Daily,Pfizer,2021-01-04,3166
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-04,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-05,145412
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-05,67951
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-05,77437
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-05,23
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-05,11873
Vaccine Administration,Administration,Daily,Moderna,2021-01-05,7883
Vaccine Administration,Administration,Daily,Pfizer,2021-01-05,3989
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-05,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-06,164815
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-06,78335
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-06,86454
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-06,26
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-06,19403
Vaccine Administration,Administration,Daily,Moderna,2021-01-06,10384
Vaccine Administration,Administration,Daily,Pfizer,2021-01-06,9017
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-06,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-07,191134
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-07,89631
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-07,101474
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-07,29
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-07,26319
Vaccine Administration,Administration,Daily,Moderna,2021-01-07,11296
Vaccine Administration,Administration,Daily,Pfizer,2021-01-07,15020
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-07,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-08,220829
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-08,103267
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-08,117530
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-08,32
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-08,29695
Vaccine Administration,Administration,Daily,Moderna,2021-01-08,13636
Vaccine Administration,Administration,Daily,Pfizer,2021-01-08,16056
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-08,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-09,234686
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-09,109982
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-09,124669
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-09,35
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-09,13857
Vaccine Administration,Administration,Daily,Moderna,2021-01-09,6715
Vaccine Administration,Administration,Daily,Pfizer,2021-01-09,7139
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-09,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-10,238921
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-10,111403
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-10,127483
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-10,35
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-10,342350
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-10,163488
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-10,178779
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-10,68
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-10,4235
Vaccine Administration,Administration,Daily,Moderna,2021-01-10,1421
Vaccine Administration,Administration,Daily,Pfizer,2021-01-10,2814
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-10,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-10,107649
Vaccine Administration,Administration,Weekly,Moderna,2021-01-10,53506
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-10,54110
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-10,33
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-11,255675
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-11,119196
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-11,136439
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-11,40
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-11,16754
Vaccine Administration,Administration,Daily,Moderna,2021-01-11,7793
Vaccine Administration,Administration,Daily,Pfizer,2021-01-11,8956
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-11,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-12,271681
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-12,127208
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-12,144430
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-12,43
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-12,16006
Vaccine Administration,Administration,Daily,Moderna,2021-01-12,8012
Vaccine Administration,Administration,Daily,Pfizer,2021-01-12,7991
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-12,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-13,292178
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-13,138118
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-13,154000
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-13,61
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-13,20497
Vaccine Administration,Administration,Daily,Moderna,2021-01-13,10910
Vaccine Administration,Administration,Daily,Pfizer,2021-01-13,9570
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-13,18
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-14,311553
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-14,147935
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-14,163555
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-14,66
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-14,19375
Vaccine Administration,Administration,Daily,Moderna,2021-01-14,9817
Vaccine Administration,Administration,Daily,Pfizer,2021-01-14,9555
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-14,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-15,331055
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-15,157826
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-15,173165
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-15,67
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-15,19502
Vaccine Administration,Administration,Daily,Moderna,2021-01-15,9891
Vaccine Administration,Administration,Daily,Pfizer,2021-01-15,9610
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-15,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-16,342332
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-16,163488
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-16,178779
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-16,68
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-16,11277
Vaccine Administration,Administration,Daily,Moderna,2021-01-16,5662
Vaccine Administration,Administration,Daily,Pfizer,2021-01-16,5614
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-16,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-17,346214
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-17,165658
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-17,180488
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-17,71
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-17,469648
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-17,231206
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-17,238336
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-17,91
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-17,3882
Vaccine Administration,Administration,Daily,Moderna,2021-01-17,2170
Vaccine Administration,Administration,Daily,Pfizer,2021-01-17,1709
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-17,3
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-17,127298
Vaccine Administration,Administration,Weekly,Moderna,2021-01-17,67718
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-17,59557
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-17,23
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-18,356670
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-18,170441
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-18,186161
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-18,71
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-18,10456
Vaccine Administration,Administration,Daily,Moderna,2021-01-18,4783
Vaccine Administration,Administration,Daily,Pfizer,2021-01-18,5673
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-18,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-19,371808
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-19,177379
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-19,194359
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-19,73
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-19,15138
Vaccine Administration,Administration,Daily,Moderna,2021-01-19,6938
Vaccine Administration,Administration,Daily,Pfizer,2021-01-19,8198
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-19,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-20,396882
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-20,192841
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-20,203967
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-20,79
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-20,25074
Vaccine Administration,Administration,Daily,Moderna,2021-01-20,15462
Vaccine Administration,Administration,Daily,Pfizer,2021-01-20,9608
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-20,6
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-21,425827
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-21,208197
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-21,217554
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-21,81
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-21,28945
Vaccine Administration,Administration,Daily,Moderna,2021-01-21,15356
Vaccine Administration,Administration,Daily,Pfizer,2021-01-21,13587
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-21,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-22,454049
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-22,222970
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-22,231004
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-22,86
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-22,28222
Vaccine Administration,Administration,Daily,Moderna,2021-01-22,14773
Vaccine Administration,Administration,Daily,Pfizer,2021-01-22,13450
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-22,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-23,469621
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-23,231206
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-23,238336
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-23,91
